Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartDateTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:20.958776200,1.2965,1.2965,0.0000,1.0747,1.1177,0.8915,0.2262,15.2187,18.3520,NA,2498.3656,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:20.960072700,14.4603,14.4603,0.0000,0.8947,14.2808,1.3037,12.9771,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:20.974533000,0.8140,0.8140,0.0000,0.7127,2.1009,1.9803,0.1206,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:20.975347000,2.1138,2.1138,0.0000,1.9984,0.6218,0.5013,0.1205,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:20.977460800,0.6023,0.6023,0.0000,0.5054,1.3405,1.2164,0.1241,14.8861,5.9369,0.3326,2517.0502,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:20.978063100,1.3494,1.3494,0.0000,1.2422,0.9897,0.8680,0.1217,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:20.979412500,0.9853,0.9853,0.0000,0.8812,0.8342,0.7185,0.1157,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:20.980397800,0.8608,0.8608,0.0000,0.7287,1.2765,1.1346,0.1419,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:20.981258600,1.5819,1.5819,0.0000,1.1434,0.8917,0.4423,0.4494,17.0252,418.5712,-2.1391,2520.8480,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:20.982840500,416.2182,416.2182,0.0000,0.4522,416.6953,11.7707,404.9246,434.0145,30.0707,-416.9893,2522.4299,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:21.399058700,33.5743,33.5743,0.0000,0.9275,33.2432,1.1605,32.0827,47.8670,416.7274,386.1475,2938.6481,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:21.432633000,416.5493,416.5493,0.0000,0.6044,416.2551,16.4058,399.8493,431.0201,33.2700,-383.1531,2972.2224,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:21.849182300,38.7687,38.7687,0.0000,0.3476,38.8736,0.5362,38.3374,NA,NA,383.2793,3388.7717,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:21.887951000,0.5837,0.5837,0.0000,0.4525,0.8791,0.8791,0.0000,8.9721,188.4160,NA,3427.5404,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:21.888534700,195.9639,195.9639,0.0000,0.7547,196.0497,0.7413,195.3084,196.8044,5.1855,-187.8323,3428.1241,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.084498600,2.4295,2.4295,0.0000,0.8405,1.8690,0.7064,1.1626,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.086928100,2.4775,2.4775,0.0000,0.3197,2.3402,0.3086,2.0316,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.089405600,0.2180,0.2180,0.0000,0.1824,0.0541,0.0541,0.0000,1.1190,4.3230,195.6854,3628.9950,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.089623600,1.1588,1.1588,0.0000,0.0185,1.3606,1.3606,0.0000,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.090782400,3.7989,3.7989,0.0000,0.2251,3.6081,0.1231,3.4850,4.0652,12.8406,-2.9462,3630.3718,NA,NA,NA
