Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartDateTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.085239500,0.4185,0.4185,0.0000,0.2871,0.3484,0.1495,0.1989,18.3223,6.0706,NA,1281.0750,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.085658000,9.1065,9.1065,0.0000,0.2131,9.2707,0.9085,8.3622,NA,NA,NA,NA,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.094764500,0.4396,0.4396,0.0000,0.3750,0.4402,0.3475,0.0927,NA,NA,NA,NA,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.095204100,0.4500,0.4500,0.0000,0.3735,0.4396,0.3534,0.0862,NA,NA,NA,NA,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.095654100,0.4234,0.4234,0.0000,0.3610,0.4441,0.3426,0.1015,NA,NA,NA,NA,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.096077500,0.4381,0.4381,0.0000,0.3801,0.4191,0.3391,0.0800,NA,NA,NA,NA,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.096515600,0.4606,0.4606,0.0000,0.3592,0.4806,0.3474,0.1332,13.1168,6.0660,5.2055,1292.3511,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.096976200,0.4403,0.4403,0.0000,0.3773,0.4542,0.3638,0.0904,NA,NA,NA,NA,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.097416500,1.0450,1.0450,0.0000,0.3885,1.1331,0.5794,0.5537,18.2819,248.7278,-5.1651,1293.2520,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.098461500,248.4605,248.4605,0.0000,0.4757,248.3826,6.2573,242.1253,265.9647,12.1299,-247.6828,1294.2970,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.346922000,15.3444,15.3444,0.0000,0.4012,15.0161,0.2232,14.7929,29.6341,217.7898,236.3306,1542.7575,NA,NA,NA
