Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartDateTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
python.exe,31548,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:21:50.750773400,0.2534,0.2534,0.0000,0.1638,0.2212,0.1325,0.0887,15.0053,6.0787,NA,1271.6932,NA,NA,NA
python.exe,31548,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:21:50.751026800,7.7761,7.7761,0.0000,0.1295,8.0292,0.5050,7.5242,NA,NA,NA,NA,NA,NA,NA
python.exe,31548,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:21:50.758802900,0.4445,0.4445,0.0000,0.3805,0.4241,0.3464,0.0777,13.0545,6.0591,1.9508,1279.7227,NA,NA,NA
python.exe,31548,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:21:50.759247400,0.4212,0.4212,0.0000,0.3585,0.4719,0.3851,0.0868,NA,NA,NA,NA,NA,NA,NA
python.exe,31548,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:21:50.759668600,0.4888,0.4888,0.0000,0.4070,0.4792,0.3817,0.0975,NA,NA,NA,NA,NA,NA,NA
python.exe,31548,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:21:50.760157400,0.4722,0.4722,0.0000,0.3967,0.7746,0.6889,0.0857,NA,NA,NA,NA,NA,NA,NA
python.exe,31548,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:21:50.760629600,0.7672,0.7672,0.0000,0.6968,0.4459,0.3535,0.0924,NA,NA,NA,NA,NA,NA,NA
python.exe,31548,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:21:50.761396800,0.4745,0.4745,0.0000,0.3738,0.4645,0.3448,0.1197,NA,NA,NA,NA,NA,NA,NA
python.exe,31548,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:21:50.761871300,0.7998,0.7998,0.0000,0.3619,0.8023,0.3397,0.4626,16.0452,236.5918,-2.9907,1282.7911,NA,NA,NA
python.exe,31548,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:21:50.762671100,235.8758,235.8758,0.0000,0.3624,235.7647,5.8085,229.9562,251.8372,18.1986,-235.7920,1283.5909,NA,NA,NA
python.exe,31548,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:21:50.998546900,20.1722,20.1722,0.0000,0.2561,20.0019,0.2283,19.7736,34.1600,213.0865,217.6772,1519.4667,NA,NA,NA
python.exe,31548,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:21:51.018719100,219.3965,219.3965,0.0000,0.0825,219.5236,8.1694,211.3542,227.0743,17.4489,-192.9143,1539.6389,NA,NA,NA
