Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartDateTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:16.451413000,0.5644,0.5644,0.0000,0.4968,0.4288,0.3314,0.0974,NA,NA,NA,NA,NA,NA,NA
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:16.451977400,0.4274,0.4274,0.0000,0.3586,0.5214,0.4081,0.1133,NA,NA,NA,NA,NA,NA,NA
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:16.452404800,0.5224,0.5224,0.0000,0.4507,0.4356,0.3327,0.1029,NA,NA,NA,NA,NA,NA,NA
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:16.452927200,0.4264,0.4264,0.0000,0.3614,0.4223,0.3397,0.0826,NA,NA,NA,NA,NA,NA,NA
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:16.453353600,0.4133,0.4133,0.0000,0.3555,0.4214,0.3369,0.0845,NA,NA,NA,NA,NA,NA,NA
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:16.453766900,0.4242,0.4242,0.0000,0.3611,0.4192,0.3393,0.0799,NA,NA,NA,NA,NA,NA,NA
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:16.454191100,0.8383,0.8383,0.0000,0.3543,0.9493,0.3795,0.5698,13.8773,1358.8627,NA,1368.1352,NA,NA,NA
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:16.455029400,1355.7355,1355.7355,0.0000,0.4586,1356.8962,3.6825,1353.2137,1371.9017,30.3582,-1358.0244,1368.9735,NA,NA,NA
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:17.810764900,36.1230,36.1230,0.0000,1.6223,34.9727,2.2030,32.7697,46.5244,78.8598,1325.3773,2724.7090,NA,NA,NA
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:17.846887900,80.2461,80.2461,0.0000,0.4779,80.2509,4.3584,75.8925,89.2612,47.2450,-42.7368,2760.8320,NA,NA,NA
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:17.927134000,34.7016,34.7016,0.0000,0.4850,35.8554,5.2312,30.6242,56.2601,25.5450,33.0011,2841.0781,NA,NA,NA
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:17.961835600,35.6710,35.6710,0.0000,1.6419,34.1211,5.5742,28.5469,47.1035,124.4573,9.1566,2875.7797,NA,NA,NA
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:17.997506600,114.7264,114.7264,0.0000,0.0910,114.7470,0.5177,114.2293,135.8898,997.8576,-88.7863,2911.4507,NA,NA,NA
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:18.112233000,1007.9897,1007.9897,0.0000,0.1181,1008.2803,3.8702,1004.4101,1019.0210,12.2317,-883.1312,3026.1771,NA,NA,NA
python.exe,15928,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 18:33:19.120222700,10.3287,10.3287,0.0000,0.4110,9.9929,0.2669,9.7260,23.2630,89.9051,995.7580,4034.1668,NA,NA,NA
