2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=608.5ms, frames=24, avg_fps=39.4, dt_min=7.26ms, dt_max=35.05ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=616.2ms, frames=24, avg_fps=39.0, dt_min=9.26ms, dt_max=40.66ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=616.7ms, frames=24, avg_fps=38.9, dt_min=9.77ms, dt_max=40.66ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=618.7ms, frames=24, avg_fps=38.8, dt_min=11.78ms, dt_max=40.66ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=621.2ms, frames=24, avg_fps=38.6, dt_min=13.28ms, dt_max=41.67ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=624.8ms, frames=24, avg_fps=38.4, dt_min=14.32ms, dt_max=41.67ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=626.3ms, frames=25, avg_fps=39.9, dt_min=2.03ms, dt_max=41.67ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=629.2ms, frames=25, avg_fps=39.7, dt_min=4.92ms, dt_max=41.67ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=630.2ms, frames=25, avg_fps=39.7, dt_min=5.92ms, dt_max=41.67ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=632.9ms, frames=25, avg_fps=39.5, dt_min=7.12ms, dt_max=43.17ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=635.1ms, frames=25, avg_fps=39.4, dt_min=9.25ms, dt_max=43.17ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=637.1ms, frames=25, avg_fps=39.2, dt_min=10.79ms, dt_max=43.71ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=638.7ms, frames=25, avg_fps=39.1, dt_min=12.38ms, dt_max=43.71ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=640.3ms, frames=25, avg_fps=39.0, dt_min=13.94ms, dt_max=43.71ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=642.8ms, frames=25, avg_fps=38.9, dt_min=14.32ms, dt_max=43.71ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=604.6ms, frames=23, avg_fps=38.0, dt_min=13.75ms, dt_max=50.86ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=605.6ms, frames=23, avg_fps=38.0, dt_min=13.75ms, dt_max=50.86ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=609.3ms, frames=23, avg_fps=37.7, dt_min=13.24ms, dt_max=51.89ms, active_count=0, fps_target=60
